開催日,参加人数
2018/7/13,13
2018/7/20,
2018/7/27,
2018/8/3,16
2018/8/10,24
2018/8/17,19
2018/8/24,17
2018/8/31,12
2018/9/7,16
2018/9/14,13
2018/9/21,18
2018/9/28,19
2018/10/5,20
2018/10/12,25
2018/10/19,25
2018/10/26,18
2018/11/2,27
2018/11/9,27
2018/11/16,19
2018/11/23,	
2018/11/30,25
