開催日,参加人数
2018/4/4,17
2018/4/11,12
2018/4/18,11
2018/4/25,8
2018/5/2,14
2018/5/9,9
2018/5/16,9
2018/5/23,9
2018/5/30,8
2018/6/6,5
2018/6/13,8
2018/6/20,8
2018/6/27,7
2018/7/4,10
2018/7/11,3
2018/7/18,3
2018/7/25,3
2018/8/1,9
2018/8/8,	
2018/8/15,5
2018/8/22,5
2018/8/29,13
2018/9/5,4
2018/9/12,2
2018/9/19,2
2018/9/26,7
2018/10/3,8
2018/10/10,8
2018/10/17,6
2018/10/24,4
2018/10/31,4
2018/11/7,6
2018/11/14,3
2018/11/21,8
2018/11/28,7
